# Profile=nstep
# ProfileLabel=nstep
# CommandValues=0
# Settings=wait=1s, values=[0.2, 0, -0.2, 0], hold=3s, repeat=True
# ControlMode=per_motor_pid(outer=on)
# OutputPID=kp=35.0,ki=0.0,kd=3.0,max=200.0
# MotorPID_1=kp=2.81,ki=1.0,kd=0.1,max=5.0
# MotorPID_2=kp=1.1,ki=0.5,kd=0.05,max=0.2
# PIDDerivativeMode=measurement
# PIDDerivativeFilterAlpha=0.05
# Nullspace=disabled
# Freeze=motor=None,kp=0.1,kd=0.002
# TorqueLimits=[6, 1]
# DurationSec=0.131
# SampleTime=0.005
# LoopDtMean=0.008794
# LoopDtStd=0.002588
# LoopDtMin=0.000000
# LoopDtMax=0.010507
time,pos_1,vel_1,tau_1,pos_2,vel_2,tau_2,output_pos,output_vel,theta_ref,theta_ctrl,tau_out,loop_dt
4.76837158203125e-07,3.814697265625e-06,-0.0019679288379848003,0.0006653453205201798,1.9073486328125e-06,-0.003222992178052664,-4.081873131923596e-09,1.8835067749023438e-05,0.008397444151341915,0.0,-0.0019188439939171076,-0.013306956494736498,4.76837158203125e-07
0.009982109069824219,0.0,-0.000587708200328052,0.0001203168754370593,-4.9591064453125e-05,0.010389216244220734,-7.381403400862054e-10,-6.556510925292969e-06,0.0045454916544258595,0.0,-0.0016489816573448481,-0.002406346565677875,0.009981632232666016
0.018918752670288086,0.0,-0.00011645816266536713,-0.00024258871173869735,2.384185791015625e-06,0.008481866680085659,1.4882743051081757e-09,2.110004425048828e-05,-0.0025232459884136915,0.0,-0.002144551213248633,0.004851792495808364,0.008936643600463867
0.0284574031829834,5.7220458984375e-06,-0.001984690548852086,-4.723004211716885e-05,-8.20159912109375e-05,-0.004370386712253094,2.8975485960728887e-10,1.7464160919189453e-05,-0.00303361052647233,0.0,-0.0014919512344582471,0.0009446043976177277,0.009538650512695312
0.037367820739746094,7.62939453125e-06,-0.001200516358949244,0.001050030470633722,-5.817413330078125e-05,0.004488353151828051,-6.441904727653199e-09,6.556510925292969e-06,0.011344147846102715,0.0,-0.0027677703814729462,-0.021000688454450238,0.008910417556762695
0.04682731628417969,0.0,1.2065634109603707e-05,-1.7518553693386717e-05,-0.00013780593872070312,0.0021190664265304804,1.0747578952729377e-10,8.761882781982422e-06,0.0013510568533092737,0.0,-0.002920702299499084,0.00035037239258907957,0.009459495544433594
0.056195974349975586,3.814697265625e-06,-0.0024112353567034006,3.2018196073627655e-05,-0.0004935264587402344,-0.04481959342956543,-1.9643065075354108e-10,8.702278137207031e-06,-0.0006382488645613194,0.0,-0.002692176987141262,-0.0006403663316645867,0.009368658065795898
0.0652000904083252,0.0,0.00030263917869888246,0.0004823375901368888,-0.0004253387451171875,0.010672335512936115,-2.9591263197842358e-09,-1.233816146850586e-05,0.004603235051035881,0.0,-0.0025268669959797423,-0.009646788111036177,0.00900411605834961
0.07570695877075195,0.0,0.00030077758128754795,5.7913495914020175e-05,-0.0004372596740722656,0.007535641081631184,-3.5529752093602674e-10,-5.4836273193359375e-06,-0.00015954866830725223,0.0,-0.002594908258585729,-0.001158274277759188,0.010506868362426758
0.08518791198730469,0.0,6.479560852312716e-06,-0.00027314822898888793,-0.00041294097900390625,-0.0012858454138040543,1.6757560060249036e-09,-6.198883056640625e-06,-0.006179618649184704,0.0,-0.0015035897496642355,0.005462985141201145,0.009480953216552734
0.0942237377166748,0.0,-0.0017052909824997187,0.0004244839492854107,-0.0004220008850097656,-0.007097301539033651,-2.6041960078208514e-09,8.940696716308594e-07,0.0006879548891447484,0.0,-0.0017690087956931167,-0.008489710939033463,0.009035825729370117
0.10467362403869629,0.0,-0.000123904668726027,-0.0001880771722828818,-0.0004181861877441406,0.00341546768322587,1.1538476826882209e-09,1.5616416931152344e-05,-0.006228046026080847,0.0,-0.0012631982280049397,0.0037615576032979147,0.010449886322021484
0.1143181324005127,0.0,-1.9596656784415245e-05,0.000175199894657062,-0.00042247772216796875,0.018450740724802017,-1.0748459794643068e-09,1.5497207641601562e-06,-0.0022624752018600702,0.0,-0.00039566140011047227,-0.003504011081435466,0.009644508361816406
